,,,,,,,,,,,,,,,,
city id,city name,0,1,2,3,,,,,,,,,,,
153,Los Angeles - Los Feliz ,0.403285714,0.4185,0.433714286,0.448928571,,,,,,,,,,,
154,Los Angeles - Manchester Square ,0.306285714,0.304214286,0.302142857,0.300071429,,,,,,,,,,,
155,Los Angeles - Mandeville Canyon ,0.169142857,0.176,0.182857143,0.189714286,,,,,,,,,,,
156,Los Angeles - Mar Vista ,0.251285714,0.2565,0.261714286,0.266928571,,,,,,,,,,,
157,Los Angeles - Marina Peninsula ,0.199142857,0.206428571,0.213714286,0.221,,,,,,,,,,,
159,Los Angeles - Mid-city ,0.383,0.389714286,0.396428571,0.403142857,,,,,,,,,,,
160,Los Angeles - Miracle Mile ,0.275285714,0.277142857,0.279,0.280857143,,,,,,,,,,,
161,Los Angeles - Mission Hills ,0.759142857,0.772714286,0.786285714,0.799857143,,,,,,,,,,,
163,Los Angeles - North Hills ,0.811285714,0.841321429,0.871357143,0.901392857,,,,,,,,,,,
164,Los Angeles - North Hollywood ,0.696142857,0.716392857,0.736642857,0.756892857,,,,,,,,,,,
165,Los Angeles - Northridge ,0.556857143,0.582785714,0.608714286,0.634642857,,,,,,,,,,,
166,Los Angeles - Pacific Palisades ,0.184,0.187357143,0.190714286,0.194071429,,,,,,,,,,,
167,Los Angeles - Pacoima ,1,1,1,1,,,,,,,,,,,
168,Los Angeles - Palisades Highlands ,0.286,0.298071429,0.310142857,0.322214286,,,,,,,,,,,
169,Los Angeles - Palms ,0.305428571,0.315821429,0.326214286,0.336607143,,,,,,,,,,,
170,Los Angeles - Panorama City ,0.857285714,0.888178571,0.919071429,0.949964286,,,,,,,,,,,
171,Los Angeles - Park La Brea ,0.215142857,0.208892857,0.202642857,0.196392857,,,,,,,,,,,
172,Los Angeles - Pico-Union ,0.597714286,0.615964286,0.634214286,0.652464286,,,,,,,,,,,
173,Los Angeles - Playa Del Rey ,0.232285714,0.224428571,0.216571429,0.208714286,,,,,,,,,,,
174,Los Angeles - Playa Vista ,0.174714286,0.176678571,0.178642857,0.180607143,,,,,,,,,,,
175,Los Angeles - Porter Ranch ,0.341285714,0.3535,0.365714286,0.377928571,,,,,,,,,,,
176,Los Angeles - Rancho Park ,0.165857143,0.154428571,0.143,0.131571429,,,,,,,,,,,
177,Los Angeles - Regent Square ,0.324,0.331714286,0.339428571,0.347142857,,,,,,,,,,,
178,Los Angeles - Reseda ,0.845285714,0.862642857,0.88,0.897357143,,,,,,,,,,,
179,Los Angeles - Reseda Ranch ,0.736428571,0.7395,0.742571429,0.745642857,,,,,,,,,,,
180,Los Angeles - Reynier Village ,0.337285714,0.358321429,0.379357143,0.400392857,,,,,,,,,,,
181,Los Angeles - San Pedro* ,0.327428571,0.339321429,0.351214286,0.363107143,,,,,,,,,,,
182,Los Angeles - Shadow Hills ,0.585142857,0.602821429,0.6205,0.638178571,,,,,,,,,,,
183,Los Angeles - Sherman Oaks ,0.340428571,0.351,0.361571429,0.372142857,,,,,,,,,,,
184,Los Angeles - Silverlake ,0.400714286,0.407785714,0.414857143,0.421928571,,,,,,,,,,,
185,Los Angeles - South Carthay ,0.311857143,0.325071429,0.338285714,0.3515,,,,,,,,,,,
186,Los Angeles - South Park ,0.770285714,0.807678571,0.845071429,0.882464286,,,,,,,,,,,
187,Los Angeles - St Elmo Village ,0.778571429,0.775392857,0.772214286,0.769035714,,,,,,,,,,,
188,Los Angeles - Studio City ,0.325714286,0.337607143,0.3495,0.361392857,,,,,,,,,,,
189,Los Angeles - Sun Valley ,0.692,0.700857143,0.709714286,0.718571429,,,,,,,,,,,
190,Los Angeles - Sunland ,0.466714286,0.483821429,0.500928571,0.518035714,,,,,,,,,,,
191,Los Angeles - Sycamore Square ,0.22,0.2475,0.275,0.3025,,,,,,,,,,,
192,Los Angeles - Sylmar* ,1,1,1,1,,,,,,,,,,,
193,Los Angeles - Tarzana ,0.550428571,0.555785714,0.561142857,0.5665,,,,,,,,,,,
194,Los Angeles - Temple-Beaudry ,0.639142857,0.655392857,0.671642857,0.687892857,,,,,,,,,,,
195,Los Angeles - Thai Town ,0.309,0.299607143,0.290214286,0.280821429,,,,,,,,,,,
196,Los Angeles - Toluca Lake ,0.379285714,0.409357143,0.439428571,0.4695,,,,,,,,,,,
198,Los Angeles - Toluca Woods ,0.277285714,0.261964286,0.246642857,0.231321429,,,,,,,,,,,
199,Los Angeles - Tujunga ,0.442857143,0.457678571,0.4725,0.487321429,,,,,,,,,,,
200,Los Angeles - University Hills ,0.311428571,0.319607143,0.327785714,0.335964286,,,,,,,,,,,
201,Los Angeles - University Park ,0.551571429,0.562142857,0.572714286,0.583285714,,,,,,,,,,,
202,Los Angeles - Valley Glen ,0.676857143,0.702821429,0.728785714,0.75475,,,,,,,,,,,
203,Los Angeles - Valley Village ,0.390714286,0.406071429,0.421428571,0.436785714,,,,,,,,,,,
204,Los Angeles - Van Nuys* ,0.861285714,0.888821429,0.916357143,0.943892857,,,,,,,,,,,
205,Los Angeles - Venice ,0.323285714,0.331142857,0.339,0.346857143,,,,,,,,,,,
206,Los Angeles - Vermont Knolls ,0.698,0.720714286,0.743428571,0.766142857,,,,,,,,,,,
207,Los Angeles - Vermont Square ,0.787142857,0.811285714,0.835428571,0.859571429,,,,,,,,,,,
208,Los Angeles - Vermont Vista ,0.685,0.697178571,0.709357143,0.721535714,,,,,,,,,,,
210,Los Angeles - Victoria Park ,0.843571429,0.880142857,0.916714286,0.953285714,,,,,,,,,,,
211,Los Angeles - View Heights ,0.305714286,0.333678571,0.361642857,0.389607143,,,,,,,,,,,
212,Los Angeles - Watts ,0.732,0.764464286,0.796928571,0.829392857,,,,,,,,,,,
